"rgn_id","species","species_code","sust_coeff","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
2,"Marine fishes nei",687,0.477777778,35,27.25,24,4.5,3.75,3.25,3,3,2.75,3.5,4,5
2,"Red drum",97,0.366666667,99,109.25,190,216.25,277,328.25,344.25,368,378,389.25,390,390
2,"Red drum",688,0.366666667,148.666666666667,186,215.5,188.75,164.25,98.75,30,46.75,53.75,62.25,69.6666666666667,70
2,"Striped bass, hybrid",689,0.444010417,36.6666666666667,30,21.25,3.75,3.75,1.25,0,0,0,0,0,0
3,"Barramundi(=Giant seaperch)",93,0.444010417,38,28.5,32.25,42.75,55,80,93,88,76.75,69.25,70,70
3,"Cupped oysters nei",684,0.888095238,0,0,0.5,0.75,0.75,0.75,0.25,0,0,0,0,0
3,"European seabass",94,0.452222222,54,68,113,130.5,151.25,128.75,130.25,129.5,149,194,196.666666666667,200
3,"European seabass",685,0.452222222,236.666666666667,240.25,245,193,115.5,54.25,14.75,13.5,4.5,3,0.333333333333333,0
3,"Gilthead seabream",95,0.286111111,0,0,0,45.25,63.25,67.5,102.25,92,109,139.75,140,140
3,"Gilthead seabream",686,0.286111111,2586.66666666667,2576.5,2663.75,2788,2808,2718.25,2555.25,1992,1606.75,1385,1110.66666666667,1200
3,"Marine fishes nei",96,0.477777778,0,0,0,0,0,75,75,93,111.75,75.75,101,115.5
3,"Marine fishes nei",687,0.477777778,35,27.25,24,4.5,3.75,3.25,3,3,2.75,3.5,4,5
3,"Red drum",97,0.366666667,99,109.25,190,216.25,277,328.25,344.25,368,378,389.25,390,390
3,"Red drum",688,0.366666667,148.666666666667,186,215.5,188.75,164.25,98.75,30,46.75,53.75,62.25,69.6666666666667,70
3,"Striped bass, hybrid",689,0.444010417,36.6666666666667,30,21.25,3.75,3.75,1.25,0,0,0,0,0,0
4,"Barramundi(=Giant seaperch)",93,0.444010417,38,28.5,32.25,42.75,55,80,93,88,76.75,69.25,70,70
4,"Cupped oysters nei",684,0.888095238,0,0,0.5,0.75,0.75,0.75,0.25,0,0,0,0,0
4,"European seabass",94,0.452222222,54,68,113,130.5,151.25,128.75,130.25,129.5,149,194,196.666666666667,200
4,"European seabass",685,0.452222222,236.666666666667,240.25,245,193,115.5,54.25,14.75,13.5,4.5,3,0.333333333333333,0
4,"Gilthead seabream",95,0.286111111,0,0,0,45.25,63.25,67.5,102.25,92,109,139.75,140,140
4,"Gilthead seabream",686,0.286111111,2586.66666666667,2576.5,2663.75,2788,2808,2718.25,2555.25,1992,1606.75,1385,1110.66666666667,1200
4,"Marine fishes nei",96,0.477777778,0,0,0,0,0,75,75,93,111.75,75.75,101,115.5
4,"Marine fishes nei",687,0.477777778,35,27.25,24,4.5,3.75,3.25,3,3,2.75,3.5,4,5
4,"Red drum",97,0.366666667,99,109.25,190,216.25,277,328.25,344.25,368,378,389.25,390,390
4,"Red drum",688,0.366666667,148.666666666667,186,215.5,188.75,164.25,98.75,30,46.75,53.75,62.25,69.6666666666667,70
4,"Striped bass, hybrid",689,0.444010417,36.6666666666667,30,21.25,3.75,3.75,1.25,0,0,0,0,0,0
5,"Barramundi(=Giant seaperch)",93,0.444010417,38,28.5,32.25,42.75,55,80,93,88,76.75,69.25,70,70
5,"Cupped oysters nei",684,0.888095238,0,0,0.5,0.75,0.75,0.75,0.25,0,0,0,0,0
5,"European seabass",94,0.452222222,54,68,113,130.5,151.25,128.75,130.25,129.5,149,194,196.666666666667,200
5,"European seabass",685,0.452222222,236.666666666667,240.25,245,193,115.5,54.25,14.75,13.5,4.5,3,0.333333333333333,0
5,"Gilthead seabream",95,0.286111111,0,0,0,45.25,63.25,67.5,102.25,92,109,139.75,140,140
5,"Gilthead seabream",686,0.286111111,2586.66666666667,2576.5,2663.75,2788,2808,2718.25,2555.25,1992,1606.75,1385,1110.66666666667,1200
5,"Marine fishes nei",96,0.477777778,0,0,0,0,0,75,75,93,111.75,75.75,101,115.5
5,"Marine fishes nei",687,0.477777778,35,27.25,24,4.5,3.75,3.25,3,3,2.75,3.5,4,5
5,"Red drum",97,0.366666667,99,109.25,190,216.25,277,328.25,344.25,368,378,389.25,390,390
5,"Red drum",688,0.366666667,148.666666666667,186,215.5,188.75,164.25,98.75,30,46.75,53.75,62.25,69.6666666666667,70
5,"Striped bass, hybrid",689,0.444010417,36.6666666666667,30,21.25,3.75,3.75,1.25,0,0,0,0,0,0
6,"Barramundi(=Giant seaperch)",93,0.444010417,38,28.5,32.25,42.75,55,80,93,88,76.75,69.25,70,70
6,"Cupped oysters nei",684,0.888095238,0,0,0.5,0.75,0.75,0.75,0.25,0,0,0,0,0
6,"European seabass",94,0.452222222,54,68,113,130.5,151.25,128.75,130.25,129.5,149,194,196.666666666667,200
6,"European seabass",685,0.452222222,236.666666666667,240.25,245,193,115.5,54.25,14.75,13.5,4.5,3,0.333333333333333,0
6,"Gilthead seabream",95,0.286111111,0,0,0,45.25,63.25,67.5,102.25,92,109,139.75,140,140
6,"Gilthead seabream",686,0.286111111,2586.66666666667,2576.5,2663.75,2788,2808,2718.25,2555.25,1992,1606.75,1385,1110.66666666667,1200
6,"Marine fishes nei",96,0.477777778,0,0,0,0,0,75,75,93,111.75,75.75,101,115.5
6,"Marine fishes nei",687,0.477777778,35,27.25,24,4.5,3.75,3.25,3,3,2.75,3.5,4,5
6,"Red drum",97,0.366666667,99,109.25,190,216.25,277,328.25,344.25,368,378,389.25,390,390
6,"Red drum",688,0.366666667,148.666666666667,186,215.5,188.75,164.25,98.75,30,46.75,53.75,62.25,69.6666666666667,70
6,"Striped bass, hybrid",689,0.444010417,36.6666666666667,30,21.25,3.75,3.75,1.25,0,0,0,0,0,0
